part,prov,short_status,long_status,n_depletions,n_shipments,depletions_baseline,shipments_baseline,calc_baseline,log,partprov
102303,BC,X,X - historical,40,45,41,0,na,,102303BC
102303,MB,Active,Active - mature - permanent,0,43,na,6,6,,102303MB
102303,SK,Active,Active - mature - permanent,0,43,na,29,29,,102303SK
102309,MB,X,X - historical,0,34,na,9,na,,102309MB
102309,ON,Active,Active - mature - permanent,39,48,6,0,6,,102309ON
102309,SK,X,X - historical,0,33,na,0,na,,102309SK
102310,AB,X,X - historical,37,49,0,0,na,,102310AB
102310,MB,X,X - historical,0,31,na,4,na,,102310MB
102310,ON,X,X - historical,16,17,11,7,na,,102310ON
102310,SK,X,X - historical,0,43,na,0,na,,102310SK
102311,AB,X,X - historical,45,49,8,0,na,,102311AB
102311,MB,Active,Active - mature - permanent,0,43,na,6,6,,102311MB
102311,ON,Active,Active - mature - permanent,48,49,1,0,1,,102311ON
102311,SK,X,X - historical,0,43,na,0,na,,102311SK
102313,AB,Active,Active - mature - permanent,41,49,23,0,23,,102313AB
102313,MB,Active,Active - mature - permanent,0,34,na,20,20,,102313MB
102313,ON,Active,Active - mature - permanent,48,49,0,0,0,,102313ON
102313,SK,X,X - historical,0,38,na,0,na,,102313SK
102315,AB,X,X - historical,49,53,0,0,na,,102315AB
102315,MB,X,X - historical,0,32,na,17,na,,102315MB
102315,ON,X,X - historical,41,43,0,0,na,,102315ON
102315,SK,X,X - historical,0,23,na,0,na,,102315SK
102316,MB,X,X - historical,0,32,na,0,na,,102316MB
102316,NL,X,X - historical,25,29,17,0,na,,102316NL
102316,ON,X,X - historical,44,51,3,0,na,,102316ON
102316,SK,X,X - historical,0,28,na,0,na,,102316SK
102319,QC,X,X - historical,52,61,0,0,na,,102319QC
102320,AB,X,X - historical,45,49,0,0,na,,102320AB
102320,MB,Active,Active - mature - permanent,0,20,na,23,23,,102320MB
102320,ON,Active,Active - mature - permanent,44,48,0,0,0,,102320ON
102320,SK,X,X - historical,0,20,na,7,na,,102320SK
102321,QC,X,X - historical,0,61,na,0,na,,102321QC
102327,AB,X,X - historical,36,40,0,0,na,,102327AB
102327,MB,X,X - historical,0,29,na,12,na,,102327MB
102327,ON,X,X - historical,33,34,0,0,na,,102327ON
102327,SK,X,X - historical,0,31,na,0,na,,102327SK
102329,AB,Active,Active - mature - exiting,0,26,na,4036,na,[ERROR]: Unable to fc; check baseline.,102329AB
102329,BC,Active,Active - mature - exiting,28,31,0,1512,0,,102329BC
102329,MB,Active,Active - mature - exiting,0,32,na,226,226,,102329MB
102329,NL,Active,Active - mature - exiting,26,30,207,187,187,,102329NL
102329,NS,Active,Active - NPD - exiting,0,7,na,607,na,[ERROR]: Unable to fc; check baseline.,102329NS
102329,ON,Active,Active - mature - exiting,0,32,na,3893,na,[ERROR]: Unable to fc; check baseline.,102329ON
102329,PE,Active,Active - mature - exiting,26,29,103,16,16,,102329PE
102329,SK,Active,Active - mature - exiting,0,33,na,130,130,,102329SK
102330,AB,Active,Active - mature - permanent,21,26,697,527,697,,102330AB
102330,MB,Active,Active - mature - permanent,0,32,na,222,222,,102330MB
102330,NL,Active,Active - mature - permanent,26,30,131,4,4,,102330NL
102330,NS,Active,Active - NPD - permanent,0,7,na,362,na,[ERROR]: Unable to fc; check baseline.,102330NS
102330,ON,Active,Active - mature - permanent,16,32,2,2436,2,,102330ON
102330,SK,Active,Active - mature - permanent,0,33,na,139,139,,102330SK
102331,AB,Active,Active - mature - exiting,20,26,1,2480,1,,102331AB
102331,BC,Active,Active - mature - exiting,28,31,326,717,326,,102331BC
102331,MB,Active,Active - mature - exiting,0,31,na,262,262,,102331MB
102331,NB,Active,Active - mature - exiting,14,17,190,122,120.0,,102331NB
102331,NL,Active,Active - mature - exiting,26,30,149,9,9,,102331NL
102331,ON,Active,Active - mature - exiting,21,32,1,2688,1,,102331ON
102331,PE,Active,Active - mature - exiting,26,29,69,4,4,,102331PE
102331,SK,Active,Active - mature - exiting,0,33,na,138,138,,102331SK
102336,MB,NPD,NPD - future launch,0,0,na,na,250.0,,102336MB
102336,ON,NPD,NPD - future launch,0,0,na,na,1200.0,,102336ON
102336,SK,NPD,NPD - future launch,0,0,na,na,175.0,,102336SK
102337,MB,NPD,NPD - future launch,0,0,na,na,250.0,,102337MB
102337,ON,NPD,NPD - future launch,0,0,na,na,1200.0,,102337ON
102337,SK,NPD,NPD - future launch,0,0,na,na,175.0,,102337SK
102358,AB,Active,Active - NPD - exiting,2,6,na,517,na,[ERROR]: Unable to fc; check baseline.,102358AB
102358,MB,Active,Active - mature - permanent,0,21,na,18,18,,102358MB
102358,ON,Active,Active - mature - exiting,27,31,312,586,312,,102358ON
102358,PE,Active,Active - mature - permanent,0,21,na,9,9,,102358PE
102358,SK,X,X - historical,0,21,na,0,na,,102358SK
102381,AB,Active,Active - mature - exiting,46,50,310,328,310,,102381AB
102381,MB,Active,Active - mature - exiting,0,49,na,190,190,,102381MB
102381,NL,Active,Active - mature - exiting,45,49,35,63,63,,102381NL
102381,NS,Active,Active - NPD - permanent,0,11,na,7,na,[ERROR]: Unable to fc; check baseline.,102381NS
102381,ON,Active,Active - mature - exiting,40,46,559,459,559,,102381ON
102381,PE,Active,Active - mature - exiting,30,33,45,29,29,,102381PE
102381,SK,X,X - historical,0,50,na,18,na,,102381SK
102382,AB,Active,Active - mature - permanent,46,50,230,257,230,,102382AB
102382,MB,Active,Active - mature - permanent,0,49,na,68,68,,102382MB
102382,NB,NPD,NPD - late launch,0,0,na,na,15.0,Late launch; pushing.[WARNING]: no loadin data.,102382NB
102382,NL,Active,Active - mature - permanent,45,49,14,57,57,,102382NL
102382,NS,X,X - historical,0,11,na,27,na,,102382NS
102382,ON,Active,Active - mature - permanent,21,22,65,72,65,,102382ON
102382,PE,Active,Active - mature - permanent,30,33,10,1,1,,102382PE
102382,SK,X,X - historical,0,50,na,12,na,,102382SK
102383,AB,Active,Active - mature - exiting,30,35,133,76,133,,102383AB
102383,MB,Active,Active - mature - exiting,0,49,na,88,88,,102383MB
102383,ON,Active,Active - mature - exiting,30,31,156,277,156,,102383ON
102383,PE,Active,Active - mature - exiting,30,33,13,10,10,,102383PE
102383,SK,Active,Active - mature - exiting,0,50,na,79,79,,102383SK
102384,AB,X,X - historical,35,39,6,0,na,,102384AB
102384,BC,X,X - historical,37,40,1,0,na,,102384BC
102384,MB,Active,Active - mature - permanent,0,29,na,31,31,,102384MB
102384,SK,X,X - historical,0,30,na,4,na,,102384SK
102390,AB,Active,Active - mature - exiting,32,37,588,893,588,,102390AB
102390,BC,Active,Active - mature - exiting,31,37,440,314,440,,102390BC
102390,MB,Active,Active - mature - permanent,0,32,na,97,97,,102390MB
102390,SK,X,X - historical,0,33,na,0,na,,102390SK
102391,MB,Active,Active - mature - permanent,0,29,na,0,0,,102391MB
102391,NS,X,X - historical,0,45,na,0,na,,102391NS
102391,ON,X,X - historical,27,32,26,0,na,,102391ON
102391,SK,X,X - historical,0,31,na,10,na,,102391SK
102392,ON,X,X - historical,34,35,0,0,na,,102392ON
102392,PE,X,X - historical,30,35,0,0,na,,102392PE
102393,AB,X,X - historical,33,37,18,0,na,,102393AB
102393,MB,Active,Active - mature - permanent,0,22,na,2,2,,102393MB
102393,ON,Active,Active - mature - permanent,34,35,7,5,7,,102393ON
102393,PE,X,X - historical,28,31,3,0,na,,102393PE
102393,SK,X,X - historical,0,22,na,0,na,,102393SK
102395,BC,X,X - historical,52,56,0,0,na,,102395BC
102397,BC,X,X - historical,0,56,na,0,na,,102397BC
102404,AB,X,X - historical,33,37,202,109,na,,102404AB
102404,MB,Active,Active - mature - permanent,0,32,na,56,56,,102404MB
102404,PE,X,X - historical,30,33,14,6,na,,102404PE
102404,SK,X,X - historical,0,33,na,0,na,,102404SK
102405,AB,Active,Active - mature - permanent,32,37,395,303,395,,102405AB
102405,BC,X,X - historical,27,37,309,48,na,,102405BC
102405,MB,Active,Active - mature - permanent,0,32,na,84,84,,102405MB
102405,NL,X,X - historical,26,30,76,4,na,,102405NL
102405,ON,Active,Active - NPD - permanent,0,1,na,na,500.0,,102405ON
102405,SK,X,X - historical,0,33,na,0,na,,102405SK
102408,AB,X,X - historical,28,32,22,0,na,,102408AB
102408,MB,Active,Active - mature - permanent,0,30,na,39,39,,102408MB
102408,ON,Active,Active - mature - exiting,30,31,131,148,131,,102408ON
102408,PE,Active,Active - mature - exiting,26,29,52,21,21,,102408PE
102408,SK,X,X - historical,0,20,na,3,na,,102408SK
102409,AB,Active,Active - mature - exiting,28,32,567,306,567,,102409AB
102409,MB,Active,Active - mature - permanent,0,30,na,41,41,,102409MB
102409,NS,Active,Active - NPD - permanent,0,11,na,216,na,[ERROR]: Unable to fc; check baseline.,102409NS
102409,ON,Active,Active - mature - exiting,25,32,284,100,284,,102409ON
102409,SK,X,X - historical,0,14,na,27,na,,102409SK
102420,AB,Active,Active - mature - permanent,42,46,48,50,48,,102420AB
102420,BC,X,X - historical,42,47,1,0,na,,102420BC
102420,MB,Active,Active - mature - permanent,0,42,na,41,41,,102420MB
102420,NL,X,X - historical,45,49,7,0,na,,102420NL
102420,NS,X,X - historical,41,45,10,0,na,,102420NS
102420,ON,X,X - historical,31,36,17,0,na,,102420ON
102420,PE,X,X - historical,38,41,0,0,na,,102420PE
102420,SK,X,X - historical,0,46,na,16,na,,102420SK
102421,MB,Active,Active - mature - permanent,0,18,na,19,19,,102421MB
102421,ON,Active,Active - mature - permanent,33,34,56,21,56,,102421ON
102421,SK,X,X - historical,0,22,na,0,na,,102421SK
102422,AB,NPD,NPD - future launch,0,0,na,na,2000.0,[WARNING]: no loadin data.,102422AB
102422,BC,Active,Active - mature - permanent,34,38,0,0,0,,102422BC
102422,MB,Active,Active - mature - permanent,0,30,na,0,0,,102422MB
102422,NL,Active,Active - mature - permanent,26,30,0,0,0,,102422NL
102422,NS,X,X - historical,31,37,0,0,na,,102422NS
102422,ON,Active,Active - mature - permanent,26,32,14,1,14,,102422ON
102422,PE,Active,Active - mature - permanent,30,35,0,0,0,,102422PE
102422,SK,Active,Active - mature - permanent,0,32,na,0,0,,102422SK
102423,BC,X,X - historical,43,47,2,0,na,,102423BC
102423,MB,Active,Active - mature - permanent,0,42,na,28,28,,102423MB
102423,NS,Active,Active - mature - permanent,41,45,61,61,61,,102423NS
102423,ON,Active,Active - mature - permanent,31,36,49,38,49,,102423ON
102423,PE,X,X - historical,38,41,0,0,na,,102423PE
102423,SK,X,X - historical,0,46,na,0,na,,102423SK
102424,AB,NPD,NPD - future launch,0,0,na,na,100.0,,102424AB
102424,MB,Active,Active - mature - exiting,0,25,na,60,60,,102424MB
102424,ON,Active,Active - mature - exiting,27,32,139,5,139,,102424ON
102424,PE,Active,Active - mature - exiting,26,29,37,18,18,,102424PE
102424,SK,X,X - historical,0,24,na,2,na,,102424SK
102428,MB,Active,Active - mature - permanent,0,20,na,44,44,,102428MB
102428,NL,X,X - historical,25,29,7,0,na,,102428NL
102428,ON,Active,Active - mature - permanent,29,30,22,15,22,,102428ON
102428,SK,X,X - historical,0,22,na,0,na,,102428SK
102430,MB,Active,Active - mature - permanent,0,20,na,38,38,,102430MB
102430,NL,X,X - historical,25,29,1,0,na,,102430NL
102430,ON,Active,Active - mature - permanent,29,30,12,8,12,,102430ON
102430,SK,X,X - historical,0,22,na,0,na,,102430SK
102436,AB,Active,Active - mature - exiting,18,26,109,1746,109,,102436AB
102436,BC,Active,Active - mature - exiting,28,31,1,1601,1,,102436BC
102436,MB,Active,Active - mature - exiting,0,19,na,294,294,,102436MB
102436,NL,Active,Active - mature - exiting,26,30,327,26,26,,102436NL
102436,ON,Active,Active - mature - exiting,21,31,0,11482,0,,102436ON
102436,PE,Active,Active - mature - exiting,23,27,218,30,30,,102436PE
102436,SK,Active,Active - mature - exiting,0,28,na,140,140,,102436SK
102437,AB,Active,Active - mature - exiting,21,26,1,2515,1,,102437AB
102437,BC,Active,Active - NPD - exiting,0,13,na,564,na,[ERROR]: Unable to fc; check baseline.,102437BC
102437,MB,Active,Active - mature - exiting,0,32,na,238,238,,102437MB
102437,NB,Active,Active - mature - exiting,13,17,189,122,120.0,,102437NB
102437,NL,Active,Active - mature - exiting,26,30,232,195,195,,102437NL
102437,NS,Active,Active - NPD - exiting,0,7,na,434,na,[ERROR]: Unable to fc; check baseline.,102437NS
102437,ON,Active,Active - mature - exiting,14,32,9,3484,9,,102437ON
102437,SK,Active,Active - mature - exiting,0,33,na,119,119,,102437SK
102438,AB,Active,Active - mature - exiting,29,35,638,349,638,,102438AB
102438,MB,Active,Active - mature - exiting,0,32,na,186,186,,102438MB
102438,NL,Active,Active - mature - exiting,22,25,130,143,143,,102438NL
102438,NS,Active,Active - NPD - exiting,0,7,na,319,na,[ERROR]: Unable to fc; check baseline.,102438NS
102438,ON,Active,Active - mature - exiting,25,31,0,2123,0,,102438ON
102438,SK,Active,Active - mature - exiting,0,33,na,76,76,,102438SK
102439,MB,Active,Active - mature - permanent,0,29,na,0,0,,102439MB
102439,NS,X,X - historical,41,45,0,0,na,,102439NS
102439,ON,Active,Active - mature - permanent,21,22,41,48,41,,102439ON
102439,SK,Active,Active - mature - permanent,0,31,na,12,12,,102439SK
102444,QC,X,X - historical,33,35,1,0,na,,102444QC
102447,QC,Active,Active - mature - exiting,34,37,348,413,348,,102447QC
102448,QC,Active,Active - NPD - exiting,7,10,406,427,406,,102448QC
102456,QC,X,X - historical,33,35,4,0,na,,102456QC
102474,AB,Active,Active - mature - exiting,22,26,36,0,36,,102474AB
102474,MB,Active,Active - mature - exiting,0,22,na,16,16,,102474MB
102474,ON,Active,Active - mature - exiting,16,17,87,208,87,,102474ON
102474,SK,X,X - historical,0,22,na,4,na,,102474SK
102475,BC,X,X - historical,30,33,0,0,na,,102475BC
102475,MB,X,X - historical,0,21,na,0,na,,102475MB
102475,NS,X,X - historical,29,33,0,0,na,,102475NS
102475,PE,X,X - historical,29,31,9,0,na,,102475PE
102475,SK,X,X - historical,0,24,na,0,na,,102475SK
102477,MB,X,X - historical,0,21,na,5,na,,102477MB
102477,ON,X,X - historical,21,22,0,0,na,,102477ON
102477,SK,X,X - historical,0,20,na,1,na,,102477SK
102478,AB,X,X - historical,25,29,10,0,na,,102478AB
102478,MB,X,X - historical,0,18,na,2,na,,102478MB
102478,ON,X,X - historical,20,21,4,2,na,,102478ON
102478,SK,X,X - historical,0,20,na,3,na,,102478SK
102479,AB,X,X - historical,24,29,3,0,na,,102479AB
102479,MB,X,X - historical,0,21,na,15,na,,102479MB
102479,ON,X,X - historical,21,22,1,0,na,,102479ON
102479,SK,X,X - historical,0,22,na,1,na,,102479SK
102480,AB,X,X - historical,25,29,2,0,na,,102480AB
102480,ON,Active,Active - mature - permanent,16,17,11,7,11,,102480ON
102486,AB,Active,Active - mature - permanent,12,16,65,16,65,,102486AB
102486,MB,NPD,NPD - late launch,0,0,na,na,20.0,Late launch; pushing.[WARNING]: no loadin data.,102486MB
102486,SK,X,X - never shipped,0,0,na,na,na,,102486SK
102491,AB,X,X - historical,27,31,49,0,na,,102491AB
102491,MB,Active,Active - mature - permanent,0,17,na,31,31,,102491MB
102491,ON,Active,Active - mature - permanent,16,17,3,2,3,,102491ON
102491,SK,X,X - historical,0,19,na,0,na,,102491SK
102492,AB,X,X - historical,27,31,22,0,na,,102492AB
102492,MB,Active,Active - mature - permanent,0,17,na,31,31,,102492MB
102492,ON,Active,Active - mature - permanent,16,17,4,3,4,,102492ON
102492,SK,X,X - historical,0,19,na,0,na,,102492SK
102495,MB,Active,Active - mature - permanent,0,20,na,31,31,,102495MB
102495,ON,Active,Active - mature - exiting,16,17,171,192,171,,102495ON
102495,SK,X,X - never shipped,0,0,na,na,na,,102495SK
102496,AB,Active,Active - mature - exiting,25,29,56,36,56,,102496AB
102496,MB,Active,Active - mature - exiting,0,22,na,19,19,,102496MB
102496,SK,Active,Active - mature - exiting,0,22,na,39,39,,102496SK
102502,AB,Active,Active - mature - exiting,17,22,63,3,63,,102502AB
102502,MB,Active,Active - mature - permanent,0,20,na,1,1,,102502MB
102502,ON,Active,Active - mature - exiting,19,23,94,134,94,,102502ON
102502,PE,Active,Active - mature - permanent,18,21,46,8,8,,102502PE
102502,SK,X,X - historical,0,10,na,1,na,,102502SK
102503,AB,X,X - historical,28,32,0,0,na,,102503AB
102513,AB,Active,Active - mature - permanent,11,15,42,8,42,,102513AB
102513,MB,NPD,NPD - late launch,0,0,na,na,25.0,Late launch; pushing.[WARNING]: no loadin data.,102513MB
102513,ON,Active,Active - mature - permanent,20,21,13,18,13,,102513ON
102513,SK,X,X - never shipped,0,0,na,na,na,,102513SK
102514,AB,Active,Active - mature - permanent,11,15,54,20,54,,102514AB
102514,MB,NPD,NPD - late launch,0,0,na,na,25.0,Late launch; pushing.[WARNING]: no loadin data.,102514MB
102514,ON,Active,Active - mature - permanent,20,21,5,10,5,,102514ON
102514,SK,X,X - never shipped,0,0,na,na,na,,102514SK
102523,AB,Active,Active - NPD - permanent,4,8,23,74,23,,102523AB
102523,MB,NPD,NPD - late launch,0,0,na,na,25.0,Late launch; pushing.[WARNING]: no loadin data.,102523MB
102523,ON,Active,Active - NPD - permanent,0,10,na,46,na,[ERROR]: Unable to fc; check baseline.,102523ON
102523,SK,X,X - never shipped,0,0,na,na,na,,102523SK
102524,AB,NPD,NPD - future launch,0,0,na,na,100.0,,102524AB
102524,BC,NPD,NPD - future launch,0,0,na,na,250.0,,102524BC
102524,MB,NPD,NPD - late launch,0,0,na,na,40.0,Late launch; pushing.[WARNING]: no loadin data.,102524MB
102524,NL,NPD,NPD - future launch,0,0,na,na,90.0,,102524NL
102524,ON,Active,Active - NPD - exiting,0,1,na,na,120.0,,102524ON
102524,SK,NPD,NPD - late launch,0,0,na,na,10.0,Late launch; pushing.[WARNING]: no loadin data.,102524SK
102526,MB,NPD,NPD - future launch,0,0,na,na,40.0,[WARNING]: no loadin data.,102526MB
102526,ON,NPD,NPD - future launch,0,0,na,na,72.0,[WARNING]: no loadin data.,102526ON
102526,SK,NPD,NPD - future launch,0,0,na,na,10.0,[WARNING]: no loadin data.,102526SK
102528,AB,NPD,NPD - future launch,0,0,na,na,300.0,,102528AB
102528,MB,NPD,NPD - future launch,0,0,na,na,40.0,[WARNING]: no loadin data.,102528MB
102528,ON,NPD,NPD - future launch,0,0,na,na,100.0,[WARNING]: no loadin data.,102528ON
102528,SK,NPD,NPD - future launch,0,0,na,na,40.0,[WARNING]: no loadin data.,102528SK
102531,AB,NPD,NPD - future launch,0,0,na,na,200.0,,102531AB
102531,MB,NPD,NPD - future launch,0,0,na,na,60.0,[WARNING]: no loadin data.,102531MB
102531,NL,Active,Active - NPD - exiting,0,8,na,170,170,,102531NL
102531,ON,Active,Active - NPD - exiting,9,10,270,239,270,,102531ON
102531,SK,NPD,NPD - future launch,0,0,na,na,40.0,[WARNING]: no loadin data.,102531SK
102532,BC,NPD,NPD - future launch,0,0,na,na,300.0,,102532BC
102532,MB,NPD,NPD - future launch,0,0,na,na,170.0,,102532MB
102532,NL,Active,Active - NPD - exiting,0,3,na,310,310,,102532NL
102532,ON,NPD,NPD - future launch,0,0,na,na,300.0,,102532ON
102532,SK,NPD,NPD - future launch,0,0,na,na,40.0,[WARNING]: no loadin data.,102532SK
102533,AB,Active,Active - NPD - exiting,0,8,na,330,na,[ERROR]: Unable to fc; check baseline.,102533AB
102533,MB,NPD,NPD - future launch,0,0,na,na,120.0,[WARNING]: no loadin data.,102533MB
102533,NL,Active,Active - NPD - exiting,0,8,na,76,76,,102533NL
102533,ON,Active,Active - NPD - exiting,0,10,na,126,na,[ERROR]: Unable to fc; check baseline.,102533ON
102533,SK,NPD,NPD - future launch,0,0,na,na,40.0,[WARNING]: no loadin data.,102533SK
102534,AB,NPD,NPD - future launch,0,0,na,na,200.0,,102534AB
102534,MB,NPD,NPD - late launch,0,0,na,na,60.0,Late launch; pushing.[WARNING]: no loadin data.,102534MB
102534,NL,Active,Active - NPD - exiting,4,9,89,69,69,,102534NL
102534,ON,Active,Active - NPD - exiting,5,6,447,472,447,,102534ON
102534,SK,NPD,NPD - late launch,0,0,na,na,40.0,Late launch; pushing.[WARNING]: no loadin data.,102534SK
102535,AB,NPD,NPD - future launch,0,0,na,na,330.0,,102535AB
102535,MB,NPD,NPD - late launch,0,0,na,na,170.0,Late launch; pushing.[WARNING]: no loadin data.,102535MB
102535,NL,Active,Active - NPD - exiting,0,5,na,142,142,,102535NL
102535,ON,NPD,NPD - future launch,0,0,na,na,300.0,,102535ON
102535,PE,Active,Active - NPD - permanent,0,5,na,138,138,,102535PE
102535,SK,NPD,NPD - late launch,0,0,na,na,40.0,Late launch; pushing.[WARNING]: no loadin data.,102535SK
102536,AB,Active,Active - NPD - exiting,2,6,na,625,na,[ERROR]: Unable to fc; check baseline.,102536AB
102536,BC,Active,Active - NPD - exiting,6,9,234,290,234,,102536BC
102536,MB,NPD,NPD - future launch,0,0,na,na,120.0,,102536MB
102536,NL,Active,Active - NPD - exiting,0,6,na,76,76,,102536NL
102536,ON,Active,Active - NPD - exiting,2,7,na,387,na,[ERROR]: Unable to fc; check baseline.,102536ON
102536,SK,Active,Active - NPD - exiting,0,3,na,71,71,,102536SK
102551,AB,Active,Active - NPD - exiting,0,1,na,na,378.0,,102551AB
102551,BC,NPD,NPD - future launch,0,0,na,na,750.0,,102551BC
102551,MB,Active,Active - NPD - permanent,0,8,na,24,24,,102551MB
102551,ON,Active,Active - NPD - exiting,9,10,129,108,129,,102551ON
102551,SK,X,X - historical,0,7,na,14,na,,102551SK
102552,MB,NPD,NPD - late launch,0,0,na,na,25.0,Late launch; pushing.[WARNING]: no loadin data.,102552MB
102552,ON,NPD,NPD - late launch,0,0,na,na,400.0,Late launch; pushing.,102552ON
102554,BC,NPD,NPD - future launch,0,0,na,na,2500.0,,102554BC
102554,MB,NPD,NPD - future launch,0,0,na,na,20.0,[WARNING]: no loadin data.,102554MB
102554,SK,NPD,NPD - future launch,0,0,na,na,10.0,[WARNING]: no loadin data.,102554SK
102555,BC,Active,Active - NPD - exiting,10,13,560,302,560,,102555BC
102555,MB,Active,Active - NPD - permanent,0,8,na,38,38,,102555MB
102555,ON,Active,Active - NPD - exiting,10,11,247,247,247,,102555ON
