part,prov,short_status,long_status,n_depletions,n_shipments,depletions_baseline,shipments_baseline,calc_baseline,log,partprov
102555,SK,X,X - never shipped,0,0,na,na,na,,102555SK
102556,BC,NPD,NPD - future launch,0,0,na,na,2500.0,,102556BC
102556,ON,NPD,NPD - late launch,0,0,na,na,840.0,Late launch; pushing.,102556ON
102556,PE,Active,Active - NPD - exiting,0,1,na,na,80.0,,102556PE
102556,SK,NPD,NPD - future launch,0,0,na,na,10.0,[WARNING]: no loadin data.,102556SK
102562,AB,Active,Active - NPD - exiting,2,7,na,1054,na,[ERROR]: Unable to fc; check baseline.,102562AB
102562,BC,Active,Active - NPD - exiting,6,9,459,722,459,,102562BC
102562,MB,NPD,NPD - future launch,0,0,na,na,80.0,,102562MB
102562,NL,Active,Active - NPD - exiting,0,8,na,139,139,,102562NL
102562,ON,Active,Active - NPD - exiting,9,10,314,448,314,,102562ON
102562,SK,Active,Active - NPD - exiting,0,7,na,81,81,,102562SK
102563,AB,Active,Active - NPD - exiting,2,7,na,776,na,[ERROR]: Unable to fc; check baseline.,102563AB
102563,BC,NPD,NPD - future launch,0,0,na,na,788.0,,102563BC
102563,MB,NPD,NPD - late launch,0,0,na,na,85.0,Late launch; pushing.[WARNING]: no loadin data.,102563MB
102563,NS,Active,Active - NPD - exiting,0,5,na,245,na,[ERROR]: Unable to fc; check baseline.,102563NS
102563,ON,Active,Active - NPD - exiting,5,6,691,759,691,,102563ON
102563,PE,Active,Active - NPD - permanent,0,7,na,106,106,,102563PE
102563,SK,Active,Active - NPD - exiting,0,3,na,176,176,,102563SK
102594,AB,Active,Active - NPD - exiting,0,4,na,412,na,[ERROR]: Unable to fc; check baseline.,102594AB
102594,BC,NPD,NPD - future launch,0,0,na,na,680.0,,102594BC
102594,MB,Active,Active - NPD - exiting,0,4,na,27,27,,102594MB
102594,NL,NPD,NPD - future launch,0,0,na,na,100.0,,102594NL
102594,ON,Active,Active - NPD - exiting,0,1,na,na,1400.0,,102594ON
102594,SK,Active,Active - NPD - exiting,0,2,na,na,40.0,,102594SK
102595,AB,Active,Active - NPD - exiting,0,4,na,412,na,[ERROR]: Unable to fc; check baseline.,102595AB
102595,MB,Active,Active - NPD - exiting,0,8,na,25,25,,102595MB
102595,NL,Active,Active - NPD - exiting,0,5,na,186,186,,102595NL
102595,NS,Active,Active - NPD - exiting,0,9,na,173,na,[ERROR]: Unable to fc; check baseline.,102595NS
102595,ON,Active,Active - NPD - exiting,0,1,na,na,1400.0,,102595ON
102595,SK,Active,Active - NPD - exiting,0,7,na,86,86,,102595SK
102600,AB,Active,Active - NPD - exiting,0,4,na,1407,600.0,,102600AB
102600,BC,Active,Active - NPD - exiting,5,8,512,1262,512,,102600BC
102600,MB,Active,Active - NPD - exiting,0,1,na,na,60.0,,102600MB
102600,ON,Active,Active - NPD - exiting,4,10,746,878,746,,102600ON
102600,SK,Active,Active - NPD - exiting,0,11,na,11,11,,102600SK
102602,AB,Active,Active - NPD - exiting,0,4,na,1303,550.0,,102602AB
102602,BC,Active,Active - NPD - exiting,5,8,433,859,433,,102602BC
102602,MB,Active,Active - NPD - exiting,0,6,na,6,6,,102602MB
102602,NL,Active,Active - NPD - exiting,0,5,na,276,276,,102602NL
102602,ON,Active,Active - NPD - exiting,9,10,641,796,641,,102602ON
102602,SK,Active,Active - NPD - exiting,0,10,na,54,54,,102602SK
102604,AB,Active,Active - NPD - permanent,0,3,na,1470,na,[ERROR]: Unable to fc; check baseline.,102604AB
102604,MB,NPD,NPD - late launch,0,0,na,na,60.0,Late launch; pushing.[WARNING]: no loadin data.,102604MB
102604,NL,NPD,NPD - late launch,0,0,na,na,100.0,Late launch; pushing.[WARNING]: no loadin data.,102604NL
102604,SK,Active,Active - NPD - permanent,0,3,na,135,135,,102604SK
102606,BC,NPD,NPD - future launch,0,0,na,na,20.0,,102606BC
102606,MB,NPD,NPD - future launch,0,0,na,na,20.0,[WARNING]: no loadin data.,102606MB
102606,ON,NPD,NPD - future launch,0,0,na,na,70.0,[WARNING]: no loadin data.,102606ON
102606,SK,NPD,NPD - future launch,0,0,na,na,10.0,[WARNING]: no loadin data.,102606SK
102612,QC,NPD,NPD - future launch,0,0,na,na,400.0,,102612QC
102613,QC,NPD,NPD - future launch,0,0,na,na,400.0,,102613QC
102616,QC,Active,Active - NPD - exiting,6,8,190,310,190,,102616QC
102617,AB,NPD,NPD - future launch,0,0,na,na,50.0,,102617AB
102617,MB,Active,Active - NPD - exiting,0,8,na,30,30,,102617MB
102617,NL,Active,Active - NPD - exiting,4,9,17,35,35,,102617NL
102617,NS,Active,Active - NPD - exiting,0,13,na,17,na,[ERROR]: Unable to fc; check baseline.,102617NS
102617,ON,NPD,NPD - future launch,0,0,na,na,500.0,,102617ON
102617,SK,X,X - historical,0,7,na,18,na,,102617SK
102618,AB,NPD,NPD - future launch,0,0,na,na,40.0,,102618AB
102618,MB,Active,Active - NPD - permanent,0,8,na,21,21,,102618MB
102618,ON,Active,Active - NPD - permanent,6,10,19,15,19,,102618ON
102618,SK,X,X - historical,0,7,na,14,na,,102618SK
102619,AB,NPD,NPD - future launch,0,0,na,na,40.0,,102619AB
102619,MB,Active,Active - NPD - permanent,0,8,na,22,22,,102619MB
102619,ON,Active,Active - NPD - permanent,0,10,na,12,na,[ERROR]: Unable to fc; check baseline.,102619ON
102619,SK,X,X - historical,0,7,na,14,na,,102619SK
102620,AB,Active,Active - NPD - exiting,1,6,na,378,na,[ERROR]: Unable to fc; check baseline.,102620AB
102620,BC,Active,Active - NPD - exiting,4,7,416,847,416,,102620BC
102620,MB,NPD,NPD - late launch,0,0,na,na,100.0,Late launch; pushing.[WARNING]: no loadin data.,102620MB
102620,NL,Active,Active - NPD - exiting,0,5,na,101,101,,102620NL
102620,ON,NPD,NPD - future launch,0,0,na,na,550.0,,102620ON
102620,PE,Active,Active - NPD - exiting,0,7,na,84,84,,102620PE
102620,SK,Active,Active - NPD - exiting,0,3,na,94,94,,102620SK
102625,AB,Active,Active - NPD - permanent,2,7,na,771,na,[ERROR]: Unable to fc; check baseline.,102625AB
102625,MB,Active,Active - NPD - permanent,0,8,na,143,143,,102625MB
102625,ON,Active,Active - NPD - permanent,5,10,303,795,303,,102625ON
102625,SK,X,X - historical,0,7,na,47,na,,102625SK
102626,AB,Active,Active - NPD - permanent,2,7,na,554,na,[ERROR]: Unable to fc; check baseline.,102626AB
102626,MB,Active,Active - NPD - permanent,0,8,na,102,102,,102626MB
102626,ON,Active,Active - NPD - permanent,9,10,528,553,528,,102626ON
102626,SK,X,X - historical,0,7,na,62,na,,102626SK
102627,AB,Active,Active - NPD - permanent,3,7,516,580,516,,102627AB
102627,BC,Active,Active - NPD - permanent,2,5,na,1729,na,[ERROR]: Unable to fc; check baseline.,102627BC
102627,MB,Active,Active - NPD - permanent,0,8,na,64,64,,102627MB
102627,ON,Active,Active - NPD - permanent,10,11,186,187,186,,102627ON
102627,SK,X,X - historical,0,7,na,28,na,,102627SK
102628,AB,Active,Active - NPD - permanent,3,7,511,580,511,,102628AB
102628,MB,Active,Active - NPD - permanent,0,8,na,66,66,,102628MB
102628,ON,Active,Active - NPD - permanent,9,11,264,253,264,,102628ON
102628,SK,X,X - historical,0,7,na,28,na,,102628SK
102629,AB,Active,Active - NPD - exiting,0,7,na,711,na,[ERROR]: Unable to fc; check baseline.,102629AB
102629,MB,NPD,NPD - late launch,0,0,na,na,100.0,Late launch; pushing.[WARNING]: no loadin data.,102629MB
102629,NL,X,X - historical,0,9,na,437,na,,102629NL
102629,ON,Active,Active - NPD - exiting,7,6,508,597,508,,102629ON
102629,SK,Active,Active - NPD - exiting,0,7,na,90,90,,102629SK
102630,AB,Active,Active - NPD - exiting,2,7,na,630,na,[ERROR]: Unable to fc; check baseline.,102630AB
102630,BC,Active,Active - NPD - exiting,0,3,na,2940,na,[ERROR]: Unable to fc; check baseline.,102630BC
102630,MB,NPD,NPD - late launch,0,0,na,na,100.0,Late launch; pushing.[WARNING]: no loadin data.,102630MB
102630,ON,Active,Active - NPD - exiting,5,6,311,327,311,,102630ON
102630,SK,Active,Active - NPD - exiting,0,7,na,90,90,,102630SK
102631,AB,Active,Active - NPD - exiting,1,6,na,769,na,[ERROR]: Unable to fc; check baseline.,102631AB
102631,BC,Active,Active - NPD - exiting,0,3,na,2940,na,[ERROR]: Unable to fc; check baseline.,102631BC
102631,MB,NPD,NPD - late launch,0,0,na,na,100.0,Late launch; pushing.[WARNING]: no loadin data.,102631MB
102631,NL,X,X - historical,0,3,na,1176,na,,102631NL
102631,SK,Active,Active - NPD - exiting,0,3,na,159,159,,102631SK
102635,QC,Active,Active - NPD - exiting,8,10,455,595,455,,102635QC
102643,MB,NPD,NPD - late launch,0,0,na,na,70.0,Late launch; pushing.[WARNING]: no loadin data.,102643MB
102643,ON,Active,Active - NPD - exiting,9,10,198,197,198,,102643ON
102643,SK,X,X - never shipped,0,0,na,na,na,,102643SK
102644,AB,Active,Active - NPD - exiting,0,4,na,617,na,[ERROR]: Unable to fc; check baseline.,102644AB
102644,MB,NPD,NPD - late launch,0,0,na,na,50.0,Late launch; pushing.[WARNING]: no loadin data.,102644MB
102644,NL,NPD,NPD - future launch,0,0,na,na,120.0,,102644NL
102644,ON,NPD,NPD - future launch,0,0,na,na,150.0,,102644ON
102644,PE,Active,Active - NPD - exiting,0,1,na,na,125.0,,102644PE
102644,SK,X,X - never shipped,0,0,na,na,na,,102644SK
102652,QC,Active,Active - NPD - exiting,0,8,na,123,na,[ERROR]: Unable to fc; check baseline.,102652QC
102666,MB,NPD,NPD - future launch,0,0,na,na,180.0,[WARNING]: no loadin data.,102666MB
102666,ON,NPD,NPD - late launch,0,0,na,na,1400.0,Late launch; pushing.,102666ON
102666,SK,NPD,NPD - future launch,0,0,na,na,180.0,[WARNING]: no loadin data.,102666SK
102667,AB,Active,Active - NPD - exiting,0,7,na,400,750.0,,102667AB
102667,BC,Active,Active - NPD - exiting,0,2,na,na,550.0,,102667BC
102667,MB,NPD,NPD - future launch,0,0,na,na,180.0,,102667MB
102667,NL,NPD,NPD - future launch,0,0,na,na,150.0,,102667NL
102667,ON,NPD,NPD - future launch,0,0,na,na,1400.0,,102667ON
102667,PE,Active,Active - NPD - permanent,0,9,na,69,69,,102667PE
102667,SK,NPD,NPD - late launch,0,0,na,na,180.0,Late launch; pushing.[WARNING]: no loadin data.,102667SK
102668,AB,Active,Active - NPD - permanent,0,4,na,1697,750.0,,102668AB
102668,BC,Active,Active - NPD - permanent,1,4,na,2212,na,[ERROR]: Unable to fc; check baseline.,102668BC
102668,MB,NPD,NPD - late launch,0,0,na,na,180.0,Late launch; pushing.[WARNING]: no loadin data.,102668MB
102668,ON,Active,Active - NPD - permanent,7,10,398,980,398,,102668ON
102668,PE,Active,Active - NPD - permanent,0,8,na,190,190,,102668PE
102668,SK,NPD,NPD - late launch,0,0,na,na,180.0,Late launch; pushing.[WARNING]: no loadin data.,102668SK
102671,AB,NPD,NPD - future launch,0,0,na,na,100.0,,102671AB
102671,MB,NPD,NPD - future launch,0,0,na,na,25.0,[WARNING]: no loadin data.,102671MB
102671,SK,NPD,NPD - future launch,0,0,na,na,8.0,[WARNING]: no loadin data.,102671SK
102682,AB,Active,Active - NPD - exiting,0,7,na,844,na,[ERROR]: Unable to fc; check baseline.,102682AB
102682,BC,Active,Active - NPD - exiting,1,4,na,4116,na,[ERROR]: Unable to fc; check baseline.,102682BC
102682,MB,NPD,NPD - future launch,0,0,na,na,300.0,,102682MB
102682,NL,Active,Active - NPD - exiting,5,9,146,138,138,,102682NL
102682,ON,Active,Active - NPD - exiting,5,10,207,1512,207,,102682ON
102682,PE,Active,Active - NPD - permanent,0,9,na,80,80,,102682PE
102682,SK,NPD,NPD - late launch,0,0,na,na,300.0,Late launch; pushing.[WARNING]: no loadin data.,102682SK
102683,AB,Active,Active - NPD - exiting,0,5,na,959,na,[ERROR]: Unable to fc; check baseline.,102683AB
102683,MB,NPD,NPD - late launch,0,0,na,na,300.0,Late launch; pushing.[WARNING]: no loadin data.,102683MB
102683,ON,Active,Active - NPD - exiting,0,10,na,3471,na,[ERROR]: Unable to fc; check baseline.,102683ON
102683,PE,Active,Active - NPD - permanent,0,8,na,280,280,,102683PE
102683,SK,NPD,NPD - late launch,0,0,na,na,300.0,Late launch; pushing.[WARNING]: no loadin data.,102683SK
102704,MB,NPD,NPD - future launch,0,0,na,na,70.0,[WARNING]: no loadin data.,102704MB
102704,NL,NPD,NPD - future launch,0,0,na,na,80.0,,102704NL
102704,ON,NPD,NPD - future launch,0,0,na,na,150.0,,102704ON
102704,PE,NPD,NPD - future launch,0,0,na,na,125.0,,102704PE
102704,SK,NPD,NPD - future launch,0,0,na,na,15.0,[WARNING]: no loadin data.,102704SK
102721,BC,NPD,NPD - future launch,0,0,na,na,450.0,,102721BC
102721,MB,NPD,NPD - future launch,0,0,na,na,20.0,[WARNING]: no loadin data.,102721MB
102721,ON,NPD,NPD - future launch,0,0,na,na,360.0,[WARNING]: no loadin data.,102721ON
102721,SK,NPD,NPD - future launch,0,0,na,na,10.0,[WARNING]: no loadin data.,102721SK
102722,BC,NPD,NPD - future launch,0,0,na,na,450.0,,102722BC
102722,MB,NPD,NPD - future launch,0,0,na,na,20.0,[WARNING]: no loadin data.,102722MB
102722,SK,NPD,NPD - future launch,0,0,na,na,10.0,[WARNING]: no loadin data.,102722SK
102727,AB,NPD,NPD - future launch,0,0,na,na,340.0,,102727AB
102727,BC,NPD,NPD - future launch,0,0,na,na,400.0,,102727BC
102727,MB,NPD,NPD - future launch,0,0,na,na,10.0,[WARNING]: no loadin data.,102727MB
102727,ON,NPD,NPD - future launch,0,0,na,na,1026.0,,102727ON
102727,SK,NPD,NPD - future launch,0,0,na,na,5.0,[WARNING]: no loadin data.,102727SK
102731,AB,NPD,NPD - future launch,0,0,na,na,750.0,,102731AB
102731,MB,NPD,NPD - future launch,0,0,na,na,180.0,[WARNING]: no loadin data.,102731MB
102731,ON,NPD,NPD - late launch,0,0,na,na,1400.0,Late launch; pushing.,102731ON
102731,SK,NPD,NPD - future launch,0,0,na,na,180.0,[WARNING]: no loadin data.,102731SK
102732,BC,NPD,NPD - future launch,0,0,na,na,550.0,,102732BC
102732,MB,NPD,NPD - future launch,0,0,na,na,110.0,[WARNING]: no loadin data.,102732MB
102732,ON,NPD,NPD - future launch,0,0,na,na,660.0,[WARNING]: no loadin data.,102732ON
102732,SK,NPD,NPD - future launch,0,0,na,na,90.0,[WARNING]: no loadin data.,102732SK
102733,AB,NPD,NPD - future launch,0,0,na,na,750.0,,102733AB
102733,BC,NPD,NPD - future launch,0,0,na,na,550.0,,102733BC
102733,MB,NPD,NPD - future launch,0,0,na,na,110.0,[WARNING]: no loadin data.,102733MB
102733,ON,NPD,NPD - future launch,0,0,na,na,550.0,[WARNING]: no loadin data.,102733ON
102733,SK,NPD,NPD - late launch,0,0,na,na,90.0,Late launch; pushing.[WARNING]: no loadin data.,102733SK
102734,AB,NPD,NPD - future launch,0,0,na,na,1700.0,,102734AB
102734,BC,NPD,NPD - future launch,0,0,na,na,1950.0,,102734BC
102734,MB,NPD,NPD - future launch,0,0,na,na,150.0,[WARNING]: no loadin data.,102734MB
102734,ON,NPD,NPD - future launch,0,0,na,na,5000.0,,102734ON
102734,SK,NPD,NPD - future launch,0,0,na,na,150.0,[WARNING]: no loadin data.,102734SK
102735,AB,NPD,NPD - future launch,0,0,na,na,1700.0,,102735AB
102735,BC,NPD,NPD - future launch,0,0,na,na,1950.0,,102735BC
102735,MB,NPD,NPD - future launch,0,0,na,na,150.0,[WARNING]: no loadin data.,102735MB
102735,ON,NPD,NPD - future launch,0,0,na,na,5000.0,,102735ON
102735,SK,NPD,NPD - future launch,0,0,na,na,150.0,[WARNING]: no loadin data.,102735SK
102736,AB,NPD,NPD - future launch,0,0,na,na,750.0,,102736AB
102736,BC,NPD,NPD - future launch,0,0,na,na,550.0,,102736BC
102736,MB,NPD,NPD - future launch,0,0,na,na,110.0,[WARNING]: no loadin data.,102736MB
102736,ON,NPD,NPD - future launch,0,0,na,na,550.0,[WARNING]: no loadin data.,102736ON
102736,SK,NPD,NPD - future launch,0,0,na,na,90.0,[WARNING]: no loadin data.,102736SK
102737,BC,NPD,NPD - future launch,0,0,na,na,550.0,,102737BC
102737,MB,NPD,NPD - future launch,0,0,na,na,110.0,[WARNING]: no loadin data.,102737MB
102737,ON,NPD,NPD - future launch,0,0,na,na,550.0,[WARNING]: no loadin data.,102737ON
102737,SK,NPD,NPD - future launch,0,0,na,na,90.0,[WARNING]: no loadin data.,102737SK
102740,MB,NPD,NPD - future launch,0,0,na,na,25.0,[WARNING]: no loadin data.,102740MB
102740,SK,NPD,NPD - future launch,0,0,na,na,8.0,[WARNING]: no loadin data.,102740SK
102741,MB,NPD,NPD - future launch,0,0,na,na,40.0,[WARNING]: no loadin data.,102741MB
102741,NL,NPD,NPD - future launch,0,0,na,na,100.0,,102741NL
102741,SK,NPD,NPD - future launch,0,0,na,na,15.0,[WARNING]: no loadin data.,102741SK
102745,MB,NPD,NPD - future launch,0,0,na,na,40.0,[WARNING]: no loadin data.,102745MB
102745,NL,NPD,NPD - future launch,0,0,na,na,100.0,,102745NL
102745,SK,NPD,NPD - future launch,0,0,na,na,10.0,[WARNING]: no loadin data.,102745SK
102750,AB,NPD,NPD - future launch,0,0,na,na,800.0,,102750AB
102752,AB,NPD,NPD - future launch,0,0,na,na,690.0,,102752AB
102752,BC,NPD,NPD - future launch,0,0,na,na,720.0,,102752BC
102752,MB,NPD,NPD - future launch,0,0,na,na,250.0,,102752MB
102752,NL,NPD,NPD - future launch,0,0,na,na,100.0,,102752NL
102752,SK,NPD,NPD - future launch,0,0,na,na,175.0,,102752SK
102753,AB,NPD,NPD - future launch,0,0,na,na,220.0,,102753AB
102753,BC,NPD,NPD - future launch,0,0,na,na,720.0,[WARNING]: no loadin data.,102753BC
102753,MB,NPD,NPD - future launch,0,0,na,na,20.0,[WARNING]: no loadin data.,102753MB
102753,ON,NPD,NPD - future launch,0,0,na,na,80.0,,102753ON
102753,SK,NPD,NPD - future launch,0,0,na,na,7.0,[WARNING]: no loadin data.,102753SK
102754,AB,NPD,NPD - future launch,0,0,na,na,180.0,,102754AB
102754,BC,NPD,NPD - future launch,0,0,na,na,180.0,,102754BC
102754,MB,NPD,NPD - future launch,0,0,na,na,20.0,[WARNING]: no loadin data.,102754MB
102754,ON,NPD,NPD - future launch,0,0,na,na,1200.0,,102754ON
102754,SK,NPD,NPD - future launch,0,0,na,na,7.0,[WARNING]: no loadin data.,102754SK
102755,AB,NPD,NPD - future launch,0,0,na,na,180.0,,102755AB
102755,BC,NPD,NPD - future launch,0,0,na,na,720.0,[WARNING]: no loadin data.,102755BC
102755,MB,NPD,NPD - future launch,0,0,na,na,30.0,[WARNING]: no loadin data.,102755MB
102755,ON,NPD,NPD - future launch,0,0,na,na,80.0,[WARNING]: no loadin data.,102755ON
102755,SK,NPD,NPD - future launch,0,0,na,na,7.0,[WARNING]: no loadin data.,102755SK
102756,AB,NPD,NPD - future launch,0,0,na,na,4800.0,[WARNING]: no loadin data.,102756AB
102756,BC,NPD,NPD - future launch,0,0,na,na,120.0,,102756BC
102756,MB,NPD,NPD - future launch,0,0,na,na,30.0,[WARNING]: no loadin data.,102756MB
102756,ON,NPD,NPD - future launch,0,0,na,na,50.0,[WARNING]: no loadin data.,102756ON
102756,SK,NPD,NPD - future launch,0,0,na,na,7.0,[WARNING]: no loadin data.,102756SK
102757,MB,NPD,NPD - future launch,0,0,na,na,250.0,,102757MB
102757,SK,NPD,NPD - future launch,0,0,na,na,175.0,,102757SK
102758,AB,NPD,NPD - future launch,0,0,na,na,250.0,,102758AB
102758,BC,NPD,NPD - future launch,0,0,na,na,120.0,,102758BC
102758,MB,NPD,NPD - future launch,0,0,na,na,40.0,[WARNING]: no loadin data.,102758MB
102758,ON,NPD,NPD - future launch,0,0,na,na,60.0,[WARNING]: no loadin data.,102758ON
102758,SK,NPD,NPD - future launch,0,0,na,na,10.0,[WARNING]: no loadin data.,102758SK
102759,AB,NPD,NPD - future launch,0,0,na,na,250.0,,102759AB
102759,BC,NPD,NPD - future launch,0,0,na,na,120.0,,102759BC
102759,MB,NPD,NPD - future launch,0,0,na,na,40.0,[WARNING]: no loadin data.,102759MB
102759,ON,NPD,NPD - future launch,0,0,na,na,60.0,[WARNING]: no loadin data.,102759ON
102759,SK,NPD,NPD - future launch,0,0,na,na,10.0,[WARNING]: no loadin data.,102759SK
102765,BC,NPD,NPD - future launch,0,0,na,na,300.0,,102765BC
102766,BC,Active,Active - mature - exiting,11,14,168,191,168,,102766BC
102767,BC,Active,Active - NPD - exiting,10,13,18,1525,18,,102767BC
102780,BC,NPD,NPD - future launch,0,0,na,na,250.0,,102780BC
102780,MB,NPD,NPD - future launch,0,0,na,na,40.0,[WARNING]: no loadin data.,102780MB
102780,ON,NPD,NPD - future launch,0,0,na,na,200.0,[WARNING]: no loadin data.,102780ON
102780,SK,NPD,NPD - future launch,0,0,na,na,40.0,[WARNING]: no loadin data.,102780SK
102781,ON,NPD,NPD - late launch,0,0,na,na,400.0,Late launch; pushing.,102781ON
102781,SK,NPD,NPD - launch now,0,0,na,na,5.0,[WARNING]: no loadin data.,102781SK
102785,AB,NPD,NPD - future launch,0,0,na,na,1000.0,,102785AB
102785,MB,NPD,NPD - future launch,0,0,na,na,70.0,,102785MB
102785,ON,NPD,NPD - future launch,0,0,na,na,3000.0,,102785ON
102785,SK,NPD,NPD - future launch,0,0,na,na,40.0,[WARNING]: no loadin data.,102785SK
102786,AB,NPD,NPD - future launch,0,0,na,na,1000.0,,102786AB
102786,MB,NPD,NPD - future launch,0,0,na,na,70.0,,102786MB
102786,NL,NPD,NPD - future launch,0,0,na,na,200.0,,102786NL
102786,ON,NPD,NPD - future launch,0,0,na,na,3000.0,,102786ON
102786,SK,NPD,NPD - future launch,0,0,na,na,40.0,[WARNING]: no loadin data.,102786SK
102792,AB,NPD,NPD - future launch,0,0,na,na,600.0,,102792AB
102792,BC,NPD,NPD - future launch,0,0,na,na,600.0,,102792BC
102792,MB,NPD,NPD - future launch,0,0,na,na,250.0,,102792MB
102792,NL,NPD,NPD - future launch,0,0,na,na,100.0,,102792NL
102792,ON,NPD,NPD - future launch,0,0,na,na,330.0,,102792ON
102792,SK,NPD,NPD - future launch,0,0,na,na,175.0,,102792SK
102794,AB,NPD,NPD - future launch,0,0,na,na,450.0,,102794AB
102794,BC,NPD,NPD - future launch,0,0,na,na,500.0,,102794BC
102794,MB,NPD,NPD - future launch,0,0,na,na,400.0,,102794MB
102794,NL,NPD,NPD - future launch,0,0,na,na,150.0,,102794NL
102794,ON,NPD,NPD - future launch,0,0,na,na,850.0,,102794ON
102794,SK,NPD,NPD - future launch,0,0,na,na,200.0,,102794SK
PG03637,QC,Active,Active - mature - exiting,0,88,na,803,na,[ERROR]: Unable to fc; check baseline.,PG03637QC
PG03742,QC,Active,Active - mature - exiting,0,37,na,1073,na,[ERROR]: Unable to fc; check baseline.,PG03742QC
PG03743,QC,Active,Active - mature - exiting,0,35,na,3,na,[ERROR]: Unable to fc; check baseline.,PG03743QC
PG03776,QC,Active,Active - NPD - exiting,0,8,na,5,na,[ERROR]: Unable to fc; check baseline.,PG03776QC
PG03778,QC,Active,Active - NPD - exiting,0,10,na,7,na,[ERROR]: Unable to fc; check baseline.,PG03778QC
